feature_set,selected_feature_count,c,max_iter,class_weight,seed,train_accuracy,val_accuracy,test_accuracy
full,2722,1.0,2000,none,311,0.9609838846480068,0.8720238095238095,0.8771929824561403
full,2722,0.1,2000,none,311,0.9067005937234945,0.8720238095238095,0.847953216374269
full,2722,0.1,2000,none,311,0.9067005937234945,0.8720238095238095,0.847953216374269
full,2722,2.0,2000,none,311,0.9728583545377438,0.8720238095238095,0.8830409356725146
full,2722,2.5,2000,none,311,0.9754028837998303,0.8720238095238095,0.8830409356725146
full,2722,1.0,2000,none,311,0.9609838846480068,0.8720238095238095,0.8771929824561403
full,2722,0.1,2000,none,311,0.9067005937234945,0.8720238095238095,0.847953216374269
full,2722,0.5,2000,none,311,0.9482612383375743,0.8720238095238095,0.8596491228070176
full,2722,1.0,2000,none,311,0.9609838846480068,0.8720238095238095,0.8771929824561403
full,2722,2.0,2000,none,311,0.9728583545377438,0.8720238095238095,0.8830409356725146
full,2722,5.0,2000,none,311,0.9796437659033079,0.875,0.8830409356725146
full,2722,2.0,2000,none,311,0.9728583545377438,0.8720238095238095,0.8830409356725146
full,2722,2.0,2000,none,311,0.9728583545377438,0.8720238095238095,0.8830409356725146
